Estuary	Parameter	Value	Metadata
Atchafalaya-VermillionBays	Estuary Perimeter (km)	1657	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
Atchafalaya-VermillionBays	Percent Estuary Open (%)	2.66	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
Atchafalaya-VermillionBays	Catchment Area (km2)	259659	
Atchafalaya-VermillionBays	Catchment Mean Elev. (m)	292	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
Atchafalaya-VermillionBays	Catchment Max Elev. (m)	1512	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
Atchafalaya-VermillionBays	Catchment/Estuary Area Ratio	116.6	Area ratio, based on catchment and area data given above
Atchafalaya-VermillionBays	Total (km2)	255908.69	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Atchafalaya-VermillionBays	Population (#)	3523821	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
Atchafalaya-VermillionBays	Pop / Estuary Area (#.km-2)	1582.3	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
Atchafalaya-VermillionBays	Tide Height (m)	0.51	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
Atchafalaya-VermillionBays	Tide Volume (m3)	1135770000	Tide Height (m) x Estuary Area (km2) x 106
Atchafalaya-VermillionBays	Tides/day (#)	1	NOAA designation
Atchafalaya-VermillionBays	Tide Volume / Day (m3.d-1)	1097362319	Calculated from tide V and tides/d
Atchafalaya-VermillionBays	Tide Ratio	0.43	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
Atchafalaya-VermillionBays	Stratification Ratio	0.65626	Total freshwater flux per day divided by tide volume per day
Atchafalaya-VermillionBays	Percent Freshwater (%)	41.1	Based on NOAA shape files of the 3 zones according to their designation
Atchafalaya-VermillionBays	Percent Mixed Water (%)	58.9	Based on NOAA shape files of the 3 zones according to their designation
Atchafalaya-VermillionBays	Percent Seawater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
Atchafalaya-VermillionBays	Average Salinity (psu)	8	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
Atchafalaya-VermillionBays	Tidal Exchange (days)	3	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
Atchafalaya-VermillionBays	Tidal Freshwater Flush (d)	2	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
Atchafalaya-VermillionBays	Daily FW/Est Area (m.d-1)	321.509	NOAA estimate of daily flow/estuary area
Atchafalaya-VermillionBays	Daily Freshwater (m3.d-1) (Best)	716000000	NOAA estimate above or (if not available) NCPDI estimate
Atchafalaya-VermillionBays	Flow / Estuary Area (m.d-1) (Best)	321.509	Best estimate/estuary area
Atchafalaya-VermillionBays	Total FW Volume (1.d-1)	0.26948	Best estimate/estuary volume (= hydraulic exchange rate)
Atchafalaya-VermillionBays	Daily Precipitation (m3.d-1)	9630000	Direct precip on system, derived from PRISM shapefile
Atchafalaya-VermillionBays	Daily Evaporation (m3.d-1)	5480000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
Atchafalaya-VermillionBays	Daily Precip / Est Area (mm.d-1)	4.324	Daily precipitation/estuary area
Atchafalaya-VermillionBays	Daily Evap / Est Area (mm.d-1)	2.461	Daily evaporation/estuary area
Atchafalaya-VermillionBays	Flow (m3.d-1)	644000000	NCPDI_1982-1991
Atchafalaya-VermillionBays	Air Temp Mean (C)	20.9	For estuary, derived from LOICZ 0.5 degree database
Atchafalaya-VermillionBays	Air Temp Std Dev (C)	5.6	For estuary, derived from LOICZ 0.5 degree database
Atchafalaya-VermillionBays	Frost Days (#)	15	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
Atchafalaya-VermillionBays	Wind Speed (m.sec-1)	6.4	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
Atchafalaya-VermillionBays	Sea Surface Temp Mean (C)	23.6	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	Sea Surface Temp Std Dev (C)	4.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	Ocean Salinity Mean (psu)	32.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	Ocean Salinity Max (psu)	34.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	Ocean Salinity Min (psu)	29.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	Oceanic DIP (µM)	0.35	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	Oceanic NO3 (µM)	1.26	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
Atchafalaya-VermillionBays	TSS (tonne.y-1)	1960000	NCPDI_1982-1991
Atchafalaya-VermillionBays	TN (kg.y-1)	491400000	NCPDI_1982-1991
Atchafalaya-VermillionBays	TP (kg.y-1)	40920000	NCPDI_1982-1991
Atchafalaya-VermillionBays	TSS/Est Area (tonne.km-2.y-1)	880.1	NCPDI TSS/estuary area (see best FW estimate above)
Atchafalaya-VermillionBays	TN/Est Area (kg.km-2.y-1)	220655.6	NCPDI TN/estuary area (see best FW estimate above)
Atchafalaya-VermillionBays	TP/Est Area (kg.km-2.y-1)	18374.49	NCPDI TP/estuary area (see best FW estimate above)
BaffinBay	Estuary Latitude	27.32296	Centerpoint latitude for estuary (centroid Y)
BaffinBay	Estuary Longitude	-97.53111	Centerpoint longitude for estuary (centroid X)
BaffinBay	Catchment Latitude	27.60586	Centerpoint latitude for catchment (centroid Y)
BaffinBay	Catchment Longitude	-98.16978	Centerpoint longitude for catchment (centroid X)
BaffinBay	Estuary Area (km2)	239	Estuary area, calculated from NOAA shapefiles
BaffinBay	Tidal Fresh Zone Area (km2)	0	Tidal Fresh area, calculated from NOAA shapefiles
BaffinBay	Mixing Zone Area (km2)	0	Mixing Zone area, calculated from NOAA shapefiles
BaffinBay	Saltwater Zone Area (km2)	239	Salt Water area, calculated from NOAA shapefiles
BaffinBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
BaffinBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
BaffinBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
BaffinBay	Estuary Volume (m3)	136230000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
BaffinBay	Estuary Depth (m)	0.57	From digital bathymetric chart if available; otherwise NOAA planimetry
BaffinBay	Estuary Perimeter (km)	253	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
BaffinBay	Percent Estuary Open (%)	2.76	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
BaffinBay	Catchment Area (km2)	8535	
BaffinBay	Catchment Mean Elev. (m)	78	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
BaffinBay	Catchment Max Elev. (m)	274	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
BaffinBay	Catchment/Estuary Area Ratio	35.7	Area ratio, based on catchment and area data given above
BaffinBay	Total (km2)	8510.6985	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaffinBay	Population (#)	75842	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
BaffinBay	Pop / Estuary Area (#.km-2)	317.3	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
BaffinBay	Tide Height (m)	0.06	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
BaffinBay	Tide Volume (m3)	14340000	Tide Height (m) x Estuary Area (km2) x 106
BaffinBay	Tides/day (#)	1	NOAA designation
BaffinBay	Tide Volume / Day (m3.d-1)	13855072	Calculated from tide V and tides/d
BaffinBay	Tide Ratio	0.11	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
BaffinBay	Stratification Ratio	-0.00973	Total freshwater flux per day divided by tide volume per day
BaffinBay	Percent Freshwater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
BaffinBay	Percent Mixed Water (%)	0	Based on NOAA shape files of the 3 zones according to their designation
BaffinBay	Percent Seawater (%)	100	Based on NOAA shape files of the 3 zones according to their designation
BaffinBay	Average Salinity (psu)	29	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
BaffinBay	Tidal Exchange (days)	-166	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
BaffinBay	Tidal Freshwater Flush (d)	103	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
BaffinBay	Daily FW/Est Area (m.d-1)	0.302	NOAA estimate of daily flow/estuary area
BaffinBay	Daily Freshwater (m3.d-1) (Best)	72200	NOAA estimate above or (if not available) NCPDI estimate
BaffinBay	Flow / Estuary Area (m.d-1) (Best)	0.302	Best estimate/estuary area
BaffinBay	Total FW Volume (1.d-1)	-0.00099	Best estimate/estuary volume (= hydraulic exchange rate)
BaffinBay	Daily Precipitation (m3.d-1)	445000	Direct precip on system, derived from PRISM shapefile
BaffinBay	Daily Evaporation (m3.d-1)	652000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
BaffinBay	Daily Precip / Est Area (mm.d-1)	1.862	Daily precipitation/estuary area
BaffinBay	Daily Evap / Est Area (mm.d-1)	2.728	Daily evaporation/estuary area
BaffinBay	Flow (m3.d-1)	996000	NCPDI_1982-1991
BaffinBay	Air Temp Mean (C)	22.4	For estuary, derived from LOICZ 0.5 degree database
BaffinBay	Air Temp Std Dev (C)	5.3	For estuary, derived from LOICZ 0.5 degree database
BaffinBay	Frost Days (#)	6	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
BaffinBay	Wind Speed (m.sec-1)	7.1	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
BaffinBay	Sea Surface Temp Mean (C)	24.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	Sea Surface Temp Std Dev (C)	3.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	Ocean Salinity Mean (psu)	34.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	Ocean Salinity Max (psu)	36.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	Ocean Salinity Min (psu)	30.5	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	Oceanic DIP (µM)	0.19	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	Oceanic NO3 (µM)	0.13	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
BaffinBay	TSS (tonne.y-1)	678000	NCPDI_1982-1991
BaffinBay	TN (kg.y-1)	1220800	NCPDI_1982-1991
BaffinBay	TP (kg.y-1)	59520	NCPDI_1982-1991
BaffinBay	TSS/Est Area (tonne.km-2.y-1)	2836.8	NCPDI TSS/estuary area (see best FW estimate above)
BaffinBay	TN/Est Area (kg.km-2.y-1)	5107.9	NCPDI TN/estuary area (see best FW estimate above)
BaffinBay	TP/Est Area (kg.km-2.y-1)	249.04	NCPDI TP/estuary area (see best FW estimate above)
BaratariaBay	Estuary Latitude	29.52333	Centerpoint latitude for estuary (centroid Y)
BaratariaBay	Estuary Longitude	-90.17455	Centerpoint longitude for estuary (centroid X)
BaratariaBay	Catchment Latitude	29.61289	Centerpoint latitude for catchment (centroid Y)
BaratariaBay	Catchment Longitude	-90.37403	Centerpoint longitude for catchment (centroid X)
BaratariaBay	Estuary Area (km2)	852	Estuary area, calculated from NOAA shapefiles
BaratariaBay	Tidal Fresh Zone Area (km2)	204	Tidal Fresh area, calculated from NOAA shapefiles
BaratariaBay	Mixing Zone Area (km2)	648	Mixing Zone area, calculated from NOAA shapefiles
BaratariaBay	Saltwater Zone Area (km2)	0	Salt Water area, calculated from NOAA shapefiles
BaratariaBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
BaratariaBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
BaratariaBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
BaratariaBay	Estuary Volume (m3)	357840000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
BaratariaBay	Estuary Depth (m)	0.42	From digital bathymetric chart if available; otherwise NOAA planimetry
BaratariaBay	Estuary Perimeter (km)	1236	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
BaratariaBay	Percent Estuary Open (%)	0.35	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
BaratariaBay	Catchment Area (km2)	4783	
BaratariaBay	Catchment Mean Elev. (m)	0	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
BaratariaBay	Catchment Max Elev. (m)	10	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
BaratariaBay	Catchment/Estuary Area Ratio	5.6	Area ratio, based on catchment and area data given above
BaratariaBay	Total (km2)	4294.2049	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaratariaBay	Population (#)	244409	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
BaratariaBay	Pop / Estuary Area (#.km-2)	286.9	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
BaratariaBay	Tide Height (m)	0.32	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
BaratariaBay	Tide Volume (m3)	272640000	Tide Height (m) x Estuary Area (km2) x 106
BaratariaBay	Tides/day (#)	1	NOAA designation
BaratariaBay	Tide Volume / Day (m3.d-1)	263420290	Calculated from tide V and tides/d
BaratariaBay	Tide Ratio	0.76	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
BaratariaBay	Stratification Ratio	0.00838	Total freshwater flux per day divided by tide volume per day
BaratariaBay	Percent Freshwater (%)	24	Based on NOAA shape files of the 3 zones according to their designation
BaratariaBay	Percent Mixed Water (%)	76	Based on NOAA shape files of the 3 zones according to their designation
BaratariaBay	Percent Seawater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
BaratariaBay	Average Salinity (psu)	10	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
BaratariaBay	Tidal Exchange (days)	113	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
BaratariaBay	Tidal Freshwater Flush (d)	2	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
BaratariaBay	Daily FW/Est Area (m.d-1)	0.702	NOAA estimate of daily flow/estuary area
BaratariaBay	Daily Freshwater (m3.d-1) (Best)	598000	NOAA estimate above or (if not available) NCPDI estimate
BaratariaBay	Flow / Estuary Area (m.d-1) (Best)	0.702	Best estimate/estuary area
BaratariaBay	Total FW Volume (1.d-1)	0.00617	Best estimate/estuary volume (= hydraulic exchange rate)
BaratariaBay	Daily Precipitation (m3.d-1)	3690000	Direct precip on system, derived from PRISM shapefile
BaratariaBay	Daily Evaporation (m3.d-1)	2080000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
BaratariaBay	Daily Precip / Est Area (mm.d-1)	4.331	Daily precipitation/estuary area
BaratariaBay	Daily Evap / Est Area (mm.d-1)	2.441	Daily evaporation/estuary area
BaratariaBay	Flow (m3.d-1)	1440000	NCPDI_1982-1991
BaratariaBay	Air Temp Mean (C)	20.8	For estuary, derived from LOICZ 0.5 degree database
BaratariaBay	Air Temp Std Dev (C)	5.7	For estuary, derived from LOICZ 0.5 degree database
BaratariaBay	Frost Days (#)	12	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
BaratariaBay	Wind Speed (m.sec-1)	6.3	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
BaratariaBay	Sea Surface Temp Mean (C)	23.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
BaratariaBay	Sea Surface Temp Std Dev (C)	4.5	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
